經度緯度,經度,緯度,經度緯度
22.0179121.6087,22.0179,121.6087,22.0179121.6087
22.0599121.6095,22.0599,121.6095,22.0599121.6095
22.0198121.6488,22.0198,121.6488,22.0198121.6488
22.099121.5914,22.099,121.5914,22.099121.5914
22.0985121.6626,22.0985,121.6626,22.0985121.6626
21.7005118.9749,21.7005,118.9749,21.7005118.9749
21.7207119.0639,21.7207,119.0639,21.7207119.0639
21.6927118.9776,21.6927,118.9776,21.6927118.9776
21.7414119.0211,21.7414,119.0211,21.7414119.0211
21.7017118.9673,21.7017,118.9673,21.7017118.9673
21.6850070953369120.598014831543,21.6850070953369,120.598014831543,21.6850070953369120.598014831543
23.6421985626221122.071807861328,23.6421985626221,122.071807861328,23.6421985626221122.071807861328
21.7593650817871120.548355102539,21.7593650817871,120.548355102539,21.7593650817871120.548355102539
23.4716121.9551,23.4716,121.9551,23.4716121.9551
23.4998121.9991,23.4998,121.9991,23.4998121.9991
23.412121.8861,23.412,121.8861,23.412121.8861
23.6156787872314121.762153625488,23.6156787872314,121.762153625488,23.6156787872314121.762153625488
23.4506121.9359,23.4506,121.9359,23.4506121.9359
23.4953121.9324,23.4953,121.9324,23.4953121.9324
23.6242961883545122.124862670898,23.6242961883545,122.124862670898,23.6242961883545122.124862670898
23.6775608062744122.002052307129,23.6775608062744,122.002052307129,23.6775608062744122.002052307129
23.6483936309814122.09156036377,23.6483936309814,122.09156036377,23.6483936309814122.09156036377
23.6617984771729122.053810119629,23.6617984771729,122.053810119629,23.6617984771729122.053810119629
23.6512413024902122.094619750977,23.6512413024902,122.094619750977,23.6512413024902122.094619750977
23.6427917480469122.048446655273,23.6427917480469,122.048446655273,23.6427917480469122.048446655273
23.4792121.8497,23.4792,121.8497,23.4792121.8497
23.6451282501221122.008094787598,23.6451282501221,122.008094787598,23.6451282501221122.008094787598
23.7018985748291122.07642364502,23.7018985748291,122.07642364502,23.7018985748291122.07642364502
23.6113121.9388,23.6113,121.9388,23.6113121.9388
23.6389121.9443,23.6389,121.9443,23.6389121.9443
23.674991607666122.029144287109,23.674991607666,122.029144287109,23.674991607666122.029144287109
23.6197121.9118,23.6197,121.9118,23.6197121.9118
23.6936073303223122.105422973633,23.6936073303223,122.105422973633,23.6936073303223122.105422973633
23.6754608154297122.070014953613,23.6754608154297,122.070014953613,23.6754608154297122.070014953613
23.5846121.916,23.5846,121.916,23.5846121.916
23.6054121.9392,23.6054,121.9392,23.6054121.9392
23.5586121.8624,23.5586,121.8624,23.5586121.8624
23.6434121.9351,23.6434,121.9351,23.6434121.9351
23.6907121.9097,23.6907,121.9097,23.6907121.9097
23.7189121.9365,23.7189,121.9365,23.7189121.9365
23.7075121.9027,23.7075,121.9027,23.7075121.9027
23.7181777954102122.074684143066,23.7181777954102,122.074684143066,23.7181777954102122.074684143066
23.7428207397461121.940216064453,23.7428207397461,121.940216064453,23.7428207397461121.940216064453
23.6487121.9166,23.6487,121.9166,23.6487121.9166
23.5966121.867,23.5966,121.867,23.5966121.867
23.6625121.8714,23.6625,121.8714,23.6625121.8714
23.6344121.8466,23.6344,121.8466,23.6344121.8466
23.6054439544678122.111129760742,23.6054439544678,122.111129760742,23.6054439544678122.111129760742
23.6509780883789122.036598205566,23.6509780883789,122.036598205566,23.6509780883789122.036598205566
23.585121.9819,23.585,121.9819,23.585121.9819
23.6863121.8821,23.6863,121.8821,23.6863121.8821
23.7101121.89,23.7101,121.89,23.7101121.89
23.6498489379883121.95435333252,23.6498489379883,121.95435333252,23.6498489379883121.95435333252
23.668550491333122.073295593262,23.668550491333,122.073295593262,23.668550491333122.073295593262
23.7783679962158122.268936157227,23.7783679962158,122.268936157227,23.7783679962158122.268936157227
23.6958121.8752,23.6958,121.8752,23.6958121.8752
23.6909121.8958,23.6909,121.8958,23.6909121.8958
23.5708121.9137,23.5708,121.9137,23.5708121.9137
23.5757121.895,23.5757,121.895,23.5757121.895
23.6311121.9464,23.6311,121.9464,23.6311121.9464
23.5523121.8674,23.5523,121.8674,23.5523121.8674
23.7263121.8955,23.7263,121.8955,23.7263121.8955
23.7369121.9249,23.7369,121.9249,23.7369121.9249
23.6372121.971,23.6372,121.971,23.6372121.971
23.9507122.3485,23.9507,122.3485,23.9507122.3485
23.9592122.3414,23.9592,122.3414,23.9592122.3414
23.972122.3644,23.972,122.3644,23.972122.3644
23.6089121.8668,23.6089,121.8668,23.6089121.8668
23.596121.8512,23.596,121.8512,23.596121.8512
23.6531121.883,23.6531,121.883,23.6531121.883
23.7153121.946,23.7153,121.946,23.7153121.946
23.8119773864746122.178726196289,23.8119773864746,122.178726196289,23.8119773864746122.178726196289
23.7312121.9979,23.7312,121.9979,23.7312121.9979
23.7236122.0092,23.7236,122.0092,23.7236122.0092
23.6848121.9843,23.6848,121.9843,23.6848121.9843
23.7235122.0285,23.7235,122.0285,23.7235122.0285
23.7069121.9805,23.7069,121.9805,23.7069121.9805
23.702121.9342,23.702,121.9342,23.702121.9342
23.6343122.0213,23.6343,122.0213,23.6343122.0213
23.6109121.9763,23.6109,121.9763,23.6109121.9763
23.6225121.982,23.6225,121.982,23.6225121.982
23.6751689910889122.177642822266,23.6751689910889,122.177642822266,23.6751689910889122.177642822266
23.7393856048584122.044799804688,23.7393856048584,122.044799804688,23.7393856048584122.044799804688
23.7478923797607122.080024719238,23.7478923797607,122.080024719238,23.7478923797607122.080024719238
23.716121.8918,23.716,121.8918,23.716121.8918
23.8445091247559121.917358398438,23.8445091247559,121.917358398438,23.8445091247559121.917358398438
23.6541122.0152,23.6541,122.0152,23.6541122.0152
23.6695122.0093,23.6695,122.0093,23.6695122.0093
23.7029121.9714,23.7029,121.9714,23.7029121.9714
23.6742121.9655,23.6742,121.9655,23.6742121.9655
23.6677121.9728,23.6677,121.9728,23.6677121.9728
23.687121.9702,23.687,121.9702,23.687121.9702
23.7117347717285122.095092773438,23.7117347717285,122.095092773438,23.7117347717285122.095092773438
23.7331085205078122.084045410156,23.7331085205078,122.084045410156,23.7331085205078122.084045410156
23.6322121.9839,23.6322,121.9839,23.6322121.9839
23.6279121.9747,23.6279,121.9747,23.6279121.9747
23.5958121.9432,23.5958,121.9432,23.5958121.9432
23.7365131378174122.168098449707,23.7365131378174,122.168098449707,23.7365131378174122.168098449707
23.6887121.9894,23.6887,121.9894,23.6887121.9894
23.7049121.9654,23.7049,121.9654,23.7049121.9654
23.7152121.9462,23.7152,121.9462,23.7152121.9462
23.6797121.9849,23.6797,121.9849,23.6797121.9849
23.6896121.9731,23.6896,121.9731,23.6896121.9731
23.7002121.9357,23.7002,121.9357,23.7002121.9357
23.7828121.9834,23.7828,121.9834,23.7828121.9834
23.788121.9009,23.788,121.9009,23.788121.9009
23.7009121.9988,23.7009,121.9988,23.7009121.9988
23.6773122.0296,23.6773,122.0296,23.6773122.0296
23.8032531738281122.057708740234,23.8032531738281,122.057708740234,23.8032531738281122.057708740234
23.6054630279541122.31510925293,23.6054630279541,122.31510925293,23.6054630279541122.31510925293
23.6856121.9894,23.6856,121.9894,23.6856121.9894
23.6975121.9912,23.6975,121.9912,23.6975121.9912
23.7316017150879122.136947631836,23.7316017150879,122.136947631836,23.7316017150879122.136947631836
23.7340908050537122.295913696289,23.7340908050537,122.295913696289,23.7340908050537122.295913696289
23.7306121.9713,23.7306,121.9713,23.7306121.9713
23.7324121.9914,23.7324,121.9914,23.7324121.9914
23.7211246490479122.174407958984,23.7211246490479,122.174407958984,23.7211246490479122.174407958984
23.979122.2991,23.979,122.2991,23.979122.2991
23.9567122.3255,23.9567,122.3255,23.9567122.3255
23.7317981719971122.131156921387,23.7317981719971,122.131156921387,23.7317981719971122.131156921387
23.6944121.9952,23.6944,121.9952,23.6944121.9952
23.6568121.9541,23.6568,121.9541,23.6568121.9541
23.675121.9842,23.675,121.9842,23.675121.9842
24.0946122.2836,24.0946,122.2836,24.0946122.2836
24.0477122.3255,24.0477,122.3255,24.0477122.3255
24.0652122.288,24.0652,122.288,24.0652122.288
23.7967071533203122.003761291504,23.7967071533203,122.003761291504,23.7967071533203122.003761291504
23.7229804992676122.199798583984,23.7229804992676,122.199798583984,23.7229804992676122.199798583984
23.9743728637695121.984230041504,23.9743728637695,121.984230041504,23.9743728637695121.984230041504
21.9739589691162118.100540161133,21.9739589691162,118.100540161133,21.9739589691162118.100540161133
23.6713121.9973,23.6713,121.9973,23.6713121.9973
23.654121.9578,23.654,121.9578,23.654121.9578
23.6838121.9866,23.6838,121.9866,23.6838121.9866
23.69122.0018,23.69,122.0018,23.69122.0018
23.7122.004,23.7,122.004,23.7122.004
23.6814122.0072,23.6814,122.0072,23.6814122.0072
23.7148532867432122.175674438477,23.7148532867432,122.175674438477,23.7148532867432122.175674438477
23.7364025115967122.142036437988,23.7364025115967,122.142036437988,23.7364025115967122.142036437988
23.7642122.0049,23.7642,122.0049,23.7642122.0049
23.6282121.9539,23.6282,121.9539,23.6282121.9539
23.7016122.0009,23.7016,122.0009,23.7016122.0009
23.5992121.9023,23.5992,121.9023,23.5992121.9023
23.6065121.91,23.6065,121.91,23.6065121.91
23.7897121.9835,23.7897,121.9835,23.7897121.9835
23.7468122.0044,23.7468,122.0044,23.7468122.0044
23.6916121.9919,23.6916,121.9919,23.6916121.9919
23.6915122.0091,23.6915,122.0091,23.6915122.0091
23.759220123291122.134872436523,23.759220123291,122.134872436523,23.759220123291122.134872436523
23.6747121.9964,23.6747,121.9964,23.6747121.9964
23.6606121.9709,23.6606,121.9709,23.6606121.9709
23.7399616241455122.151679992676,23.7399616241455,122.151679992676,23.7399616241455122.151679992676
23.7214122.0263,23.7214,122.0263,23.7214122.0263
23.7372798919678122.190856933594,23.7372798919678,122.190856933594,23.7372798919678122.190856933594
23.7091122.0083,23.7091,122.0083,23.7091122.0083
21.735221862793118.224700927734,21.735221862793,118.224700927734,21.735221862793118.224700927734
23.7809410095215122.145027160645,23.7809410095215,122.145027160645,23.7809410095215122.145027160645
23.8124370574951122.149261474609,23.8124370574951,122.149261474609,23.8124370574951122.149261474609
23.7826709747314122.033729553223,23.7826709747314,122.033729553223,23.7826709747314122.033729553223
23.8489246368408121.95255279541,23.8489246368408,121.95255279541,23.8489246368408121.95255279541
23.8015193939209122.068237304688,23.8015193939209,122.068237304688,23.8015193939209122.068237304688
24.3119335174561122.352882385254,24.3119335174561,122.352882385254,24.3119335174561122.352882385254
24.0346698760986121.934173583984,24.0346698760986,121.934173583984,24.0346698760986121.934173583984
23.9243121.8763,23.9243,121.8763,23.9243121.8763
23.9363121.876,23.9363,121.876,23.9363121.876
23.7465121.9942,23.7465,121.9942,23.7465121.9942
23.7401121.982,23.7401,121.982,23.7401121.982
23.7274121.9535,23.7274,121.9535,23.7274121.9535
23.7924003601074122.127227783203,23.7924003601074,122.127227783203,23.7924003601074122.127227783203
23.8151664733887122.117500305176,23.8151664733887,122.117500305176,23.8151664733887122.117500305176
23.6643122.0187,23.6643,122.0187,23.6643122.0187
23.9629122.0905,23.9629,122.0905,23.9629122.0905
23.9209480285645122.135971069336,23.9209480285645,122.135971069336,23.9209480285645122.135971069336
23.9052122.0318,23.9052,122.0318,23.9052122.0318
23.8469886779785121.996932983398,23.8469886779785,121.996932983398,23.8469886779785121.996932983398
23.8351122.0002,23.8351,122.0002,23.8351122.0002
24.2472122.1784,24.2472,122.1784,24.2472122.1784
23.7325122.0371,23.7325,122.0371,23.7325122.0371
23.7582874298096122.189353942871,23.7582874298096,122.189353942871,23.7582874298096122.189353942871
23.7006121.9941,23.7006,121.9941,23.7006121.9941
23.6919121.9866,23.6919,121.9866,23.6919121.9866
23.7204122.0148,23.7204,122.0148,23.7204122.0148
23.8611850738525122.057075500488,23.8611850738525,122.057075500488,23.8611850738525122.057075500488
23.5407122.0124,23.5407,122.0124,23.5407122.0124
21.7735119.1588,21.7735,119.1588,21.7735119.1588
23.8746121.9769,23.8746,121.9769,23.8746121.9769
24.0778122.1915,24.0778,122.1915,24.0778122.1915
24.0341122.1548,24.0341,122.1548,24.0341122.1548
23.8953609466553122.135246276855,23.8953609466553,122.135246276855,23.8953609466553122.135246276855
23.8006629943848122.192863464355,23.8006629943848,122.192863464355,23.8006629943848122.192863464355
23.8685989379883122.036331176758,23.8685989379883,122.036331176758,23.8685989379883122.036331176758
23.8835029602051122.133209228516,23.8835029602051,122.133209228516,23.8835029602051122.133209228516
23.8371121.9956,23.8371,121.9956,23.8371121.9956
23.9688122.084,23.9688,122.084,23.9688122.084
23.4911460876465122.433242797852,23.4911460876465,122.433242797852,23.4911460876465122.433242797852
23.7044121.9923,23.7044,121.9923,23.7044121.9923
23.8661121.9607,23.8661,121.9607,23.8661121.9607
23.8756121.968,23.8756,121.968,23.8756121.968
23.9909954071045122.126953125,23.9909954071045,122.126953125,23.9909954071045122.126953125
23.6036121.9288,23.6036,121.9288,23.6036121.9288
23.6067122.0071,23.6067,122.0071,23.6067122.0071
23.4488121.8657,23.4488,121.8657,23.4488121.8657
23.6779121.995,23.6779,121.995,23.6779121.995
23.7054122.0126,23.7054,122.0126,23.7054122.0126
23.7227122.0083,23.7227,122.0083,23.7227122.0083
23.7298122.0282,23.7298,122.0282,23.7298122.0282
23.7342122.0356,23.7342,122.0356,23.7342122.0356
24.0469122.1022,24.0469,122.1022,24.0469122.1022
24.0153122.0661,24.0153,122.0661,24.0153122.0661
24.0851497650146122.083168029785,24.0851497650146,122.083168029785,24.0851497650146122.083168029785
23.9661693572998122.329032897949,23.9661693572998,122.329032897949,23.9661693572998122.329032897949
24.0507122.04,24.0507,122.04,24.0507122.04
24.0173122.0631,24.0173,122.0631,24.0173122.0631
23.8392925262451121.990852355957,23.8392925262451,121.990852355957,23.8392925262451121.990852355957
23.9748706817627122.131362915039,23.9748706817627,122.131362915039,23.9748706817627122.131362915039
24.1878122.239,24.1878,122.239,24.1878122.239
23.7035122.0067,23.7035,122.0067,23.7035122.0067
24.0665340423584122.078987121582,24.0665340423584,122.078987121582,24.0665340423584122.078987121582
23.6170196533203122.199813842773,23.6170196533203,122.199813842773,23.6170196533203122.199813842773
23.5755121.9816,23.5755,121.9816,23.5755121.9816
23.6486587524414122.175170898438,23.6486587524414,122.175170898438,23.6486587524414122.175170898438
24.0945091247559122.160690307617,24.0945091247559,122.160690307617,24.0945091247559122.160690307617
21.778119.097,21.778,119.097,21.778119.097
21.7781119.0323,21.7781,119.0323,21.7781119.0323
23.6650524139404122.16837310791,23.6650524139404,122.16837310791,23.6650524139404122.16837310791
24.0361122.0426,24.0361,122.0426,24.0361122.0426
24.0115122.0167,24.0115,122.0167,24.0115122.0167
24.0324122.0259,24.0324,122.0259,24.0324122.0259
24.013122.0331,24.013,122.0331,24.013122.0331
23.9173717498779122.160446166992,23.9173717498779,122.160446166992,23.9173717498779122.160446166992
21.8225119.3343,21.8225,119.3343,21.8225119.3343
24.0583122.0363,24.0583,122.0363,24.0583122.0363
24.5745122.3996,24.5745,122.3996,24.5745122.3996
23.6955966949463122.170967102051,23.6955966949463,122.170967102051,23.6955966949463122.170967102051
23.7060947418213122.173233032227,23.7060947418213,122.173233032227,23.7060947418213122.173233032227
24.6593933105469122.322708129883,24.6593933105469,122.322708129883,24.6593933105469122.322708129883
23.7033309936523122.191070556641,23.7033309936523,122.191070556641,23.7033309936523122.191070556641
23.6048121.9508,23.6048,121.9508,23.6048121.9508
23.6155121.9928,23.6155,121.9928,23.6155121.9928
23.801121.9318,23.801,121.9318,23.801121.9318
23.8175121.9513,23.8175,121.9513,23.8175121.9513
21.7916119.2263,21.7916,119.2263,21.7916119.2263
21.7823119.1204,21.7823,119.1204,21.7823119.1204
23.8808121.975,23.8808,121.975,23.8808121.975
23.9415121.9667,23.9415,121.9667,23.9415121.9667
23.7042465209961122.187110900879,23.7042465209961,122.187110900879,23.7042465209961122.187110900879
21.8233119.0364,21.8233,119.0364,21.8233119.0364
21.84119.069,21.84,119.069,21.84119.069
21.8387119.1945,21.8387,119.1945,21.8387119.1945
21.8199119.1789,21.8199,119.1789,21.8199119.1789
24.7946796417236122.245834350586,24.7946796417236,122.245834350586,24.7946796417236122.245834350586
21.9123119.1766,21.9123,119.1766,21.9123119.1766
21.9372119.1989,21.9372,119.1989,21.9372119.1989
21.9113119.1868,21.9113,119.1868,21.9113119.1868
24.2932122.0154,24.2932,122.0154,24.2932122.0154
24.3054122.0361,24.3054,122.0361,24.3054122.0361
24.2857121.9985,24.2857,121.9985,24.2857121.9985
24.7773121.8451,24.7773,121.8451,24.7773121.8451
24.7589121.7872,24.7589,121.7872,24.7589121.7872
24.7538121.8122,24.7538,121.8122,24.7538121.8122
24.8206122.3083,24.8206,122.3083,24.8206122.3083
24.7728121.8562,24.7728,121.8562,24.7728121.8562
24.2928122.0072,24.2928,122.0072,24.2928122.0072
24.807689666748122.307281494141,24.807689666748,122.307281494141,24.807689666748122.307281494141
24.7657127380371122.302490234375,24.7657127380371,122.302490234375,24.7657127380371122.302490234375
24.7547121.8103,24.7547,121.8103,24.7547121.8103
24.741121.8191,24.741,121.8191,24.741121.8191
24.3108122.032,24.3108,122.032,24.3108122.032
24.576122.183,24.576,122.183,24.576122.183
24.5897122.102,24.5897,122.102,24.5897122.102
24.773121.8283,24.773,121.8283,24.773121.8283
24.7726121.8036,24.7726,121.8036,24.7726121.8036
24.7682819366455122.207366943359,24.7682819366455,122.207366943359,24.7682819366455122.207366943359
24.7872121.8158,24.7872,121.8158,24.7872121.8158
24.3024121.9925,24.3024,121.9925,24.3024121.9925
24.3193122.0405,24.3193,122.0405,24.3193122.0405
24.7993121.7974,24.7993,121.7974,24.7993121.7974
24.7845121.8157,24.7845,121.8157,24.7845121.8157
24.3273122.0383,24.3273,122.0383,24.3273122.0383
21.9002119.165,21.9002,119.165,21.9002119.165
21.8938119.1353,21.8938,119.1353,21.8938119.1353
21.8826119.1143,21.8826,119.1143,21.8826119.1143
21.8655119.1123,21.8655,119.1123,21.8655119.1123
24.3203122.0194,24.3203,122.0194,24.3203122.0194
24.8433895111084122.331504821777,24.8433895111084,122.331504821777,24.8433895111084122.331504821777
24.8148121.7784,24.8148,121.7784,24.8148121.7784
24.3366122.0435,24.3366,122.0435,24.3366122.0435
21.7035119.0117,21.7035,119.0117,21.7035119.0117
24.7061367034912122.326477050781,24.7061367034912,122.326477050781,24.7061367034912122.326477050781
24.5882122.1978,24.5882,122.1978,24.5882122.1978
24.76100730896122.308746337891,24.76100730896,122.308746337891,24.76100730896122.308746337891
24.3088122.0008,24.3088,122.0008,24.3088122.0008
24.2953122.0135,24.2953,122.0135,24.2953122.0135
21.8301119.0554,21.8301,119.0554,21.8301119.0554
24.5449122.1558,24.5449,122.1558,24.5449122.1558
24.8195121.7678,24.8195,121.7678,24.8195121.7678
24.3543122.0464,24.3543,122.0464,24.3543122.0464
24.8511905670166122.378150939941,24.8511905670166,122.378150939941,24.8511905670166122.378150939941
24.8658121.8035,24.8658,121.8035,24.8658121.8035
24.4136122.3093,24.4136,122.3093,24.4136122.3093
24.4609122.1936,24.4609,122.1936,24.4609122.1936
24.8606122.2645,24.8606,122.2645,24.8606122.2645
24.3083121.9979,24.3083,121.9979,24.3083121.9979
24.2892122.0114,24.2892,122.0114,24.2892122.0114
24.7248878479004122.27074432373,24.7248878479004,122.27074432373,24.7248878479004122.27074432373
24.7864121.751,24.7864,121.751,24.7864121.751
24.7963121.7392,24.7963,121.7392,24.7963121.7392
24.2699121.9235,24.2699,121.9235,24.2699121.9235
24.2643121.8977,24.2643,121.8977,24.2643121.8977
24.7284297943115122.312843322754,24.7284297943115,122.312843322754,24.7284297943115122.312843322754
24.2974122.0319,24.2974,122.0319,24.2974122.0319
24.7594108581543122.334892272949,24.7594108581543,122.334892272949,24.7594108581543122.334892272949
24.3037122.0256,24.3037,122.0256,24.3037122.0256
24.2547121.8949,24.2547,121.8949,24.2547121.8949
24.3281122.0545,24.3281,122.0545,24.3281122.0545
24.3055122.0189,24.3055,122.0189,24.3055122.0189
24.292122.0018,24.292,122.0018,24.292122.0018
24.2193121.8229,24.2193,121.8229,24.2193121.8229
24.3088122.0284,24.3088,122.0284,24.3088122.0284
24.3235122.0364,24.3235,122.0364,24.3235122.0364
24.8665122.315,24.8665,122.315,24.8665122.315
24.8214122.3087,24.8214,122.3087,24.8214122.3087
24.8384122.2926,24.8384,122.2926,24.8384122.2926
24.3261122.0636,24.3261,122.0636,24.3261122.0636
24.8658122.322,24.8658,122.322,24.8658122.322
24.7978122.2957,24.7978,122.2957,24.7978122.2957
24.8598122.3114,24.8598,122.3114,24.8598122.3114
24.9179122.6745,24.9179,122.6745,24.9179122.6745
24.3069122.0097,24.3069,122.0097,24.3069122.0097
24.8288122.3055,24.8288,122.3055,24.8288122.3055
25.0416122.3202,25.0416,122.3202,25.0416122.3202
25.0062122.2639,25.0062,122.2639,25.0062122.2639
24.4017122.0051,24.4017,122.0051,24.4017122.0051
24.8479122.3014,24.8479,122.3014,24.8479122.3014
24.3049122.0187,24.3049,122.0187,24.3049122.0187
24.3208122.0298,24.3208,122.0298,24.3208122.0298
24.3097122.0213,24.3097,122.0213,24.3097122.0213
24.7607121.8204,24.7607,121.8204,24.7607121.8204
24.3154122.0269,24.3154,122.0269,24.3154122.0269
24.2499121.8779,24.2499,121.8779,24.2499121.8779
24.8627121.7799,24.8627,121.7799,24.8627121.7799
24.4541122.1019,24.4541,122.1019,24.4541122.1019
24.2999122.011,24.2999,122.011,24.2999122.011
21.9112119.2014,21.9112,119.2014,21.9112119.2014
24.2976122.0048,24.2976,122.0048,24.2976122.0048
24.2126121.7766,24.2126,121.7766,24.2126121.7766
24.883122.3165,24.883,122.3165,24.883122.3165
24.8555121.7661,24.8555,121.7661,24.8555121.7661
24.8756121.7637,24.8756,121.7637,24.8756121.7637
24.2335121.8124,24.2335,121.8124,24.2335121.8124
24.5208122.144,24.5208,122.144,24.5208122.144
24.5394122.1378,24.5394,122.1378,24.5394122.1378
24.9248122.2967,24.9248,122.2967,24.9248122.2967
24.3291122.0497,24.3291,122.0497,24.3291122.0497
24.7956104278564122.301719665527,24.7956104278564,122.301719665527,24.7956104278564122.301719665527
25.1416122.5329,25.1416,122.5329,25.1416122.5329
25.0594122.624,25.0594,122.624,25.0594122.624
25.0658122.648,25.0658,122.648,25.0658122.648
24.9173121.7435,24.9173,121.7435,24.9173121.7435
24.305122.0037,24.305,122.0037,24.305122.0037
24.780912399292122.435035705566,24.780912399292,122.435035705566,24.780912399292122.435035705566
24.9133121.7202,24.9133,121.7202,24.9133121.7202
24.2394121.8471,24.2394,121.8471,24.2394121.8471
24.7764121.8278,24.7764,121.8278,24.7764121.8278
24.2881122.0047,24.2881,122.0047,24.2881122.0047
24.9494121.7284,24.9494,121.7284,24.9494121.7284
24.3208122.033,24.3208,122.033,24.3208122.033
24.9111121.7431,24.9111,121.7431,24.9111121.7431
24.5489122.0844,24.5489,122.0844,24.5489122.0844
24.9056167602539122.428382873535,24.9056167602539,122.428382873535,24.9056167602539122.428382873535
24.9181121.7839,24.9181,121.7839,24.9181121.7839
24.5175122.0741,24.5175,122.0741,24.5175122.0741
24.826121.7821,24.826,121.7821,24.826121.7821
24.9165121.7248,24.9165,121.7248,24.9165121.7248
24.8207121.7724,24.8207,121.7724,24.8207121.7724
24.8143121.7817,24.8143,121.7817,24.8143121.7817
24.9361121.7562,24.9361,121.7562,24.9361121.7562
24.9163121.7376,24.9163,121.7376,24.9163121.7376
24.912121.7401,24.912,121.7401,24.912121.7401
24.852502822876122.315925598145,24.852502822876,122.315925598145,24.852502822876122.315925598145
24.527122.2019,24.527,122.2019,24.527122.2019
24.507122.2309,24.507,122.2309,24.507122.2309
24.5066122.1775,24.5066,122.1775,24.5066122.1775
24.4925122.179,24.4925,122.179,24.4925122.179
24.9171121.72,24.9171,121.72,24.9171121.72
24.9507121.9115,24.9507,121.9115,24.9507121.9115
24.9205121.7515,24.9205,121.7515,24.9205121.7515
24.9108121.7543,24.9108,121.7543,24.9108121.7543
24.8543701171875122.326683044434,24.8543701171875,122.326683044434,24.8543701171875122.326683044434
24.9109121.7308,24.9109,121.7308,24.9109121.7308
24.927121.7443,24.927,121.7443,24.927121.7443
24.6437122.181,24.6437,122.181,24.6437122.181
24.9252121.7597,24.9252,121.7597,24.9252121.7597
24.9313121.7544,24.9313,121.7544,24.9313121.7544
24.9273121.7421,24.9273,121.7421,24.9273121.7421
24.9005121.7591,24.9005,121.7591,24.9005121.7591
24.9132121.7676,24.9132,121.7676,24.9132121.7676
24.5034122.0336,24.5034,122.0336,24.5034122.0336
24.8887121.7238,24.8887,121.7238,24.8887121.7238
24.9247121.7793,24.9247,121.7793,24.9247121.7793
25.255122.5492,25.255,122.5492,25.255122.5492
24.9341121.7448,24.9341,121.7448,24.9341121.7448
25.1431122.3066,25.1431,122.3066,25.1431122.3066
21.8111119.2596,21.8111,119.2596,21.8111119.2596
24.9448121.7408,24.9448,121.7408,24.9448121.7408
24.9222121.7368,24.9222,121.7368,24.9222121.7368
24.8640098571777122.33602142334,24.8640098571777,122.33602142334,24.8640098571777122.33602142334
24.9325121.736,24.9325,121.736,24.9325121.736
24.9424121.7513,24.9424,121.7513,24.9424121.7513
25.2399122.4291,25.2399,122.4291,25.2399122.4291
25.1343122.284,25.1343,122.284,25.1343122.284
24.5135122.0551,24.5135,122.0551,24.5135122.0551
21.8482119.1539,21.8482,119.1539,21.8482119.1539
21.8487119.2065,21.8487,119.2065,21.8487119.2065
24.9257121.8002,24.9257,121.8002,24.9257121.8002
24.8987121.7839,24.8987,121.7839,24.8987121.7839
24.931121.734,24.931,121.734,24.931121.734
24.9496121.7391,24.9496,121.7391,24.9496121.7391
24.9314121.7068,24.9314,121.7068,24.9314121.7068
24.9393121.7671,24.9393,121.7671,24.9393121.7671
24.8580551147461122.331680297852,24.8580551147461,122.331680297852,24.8580551147461122.331680297852
24.9318121.7522,24.9318,121.7522,24.9318121.7522
24.923121.7492,24.923,121.7492,24.923121.7492
24.9426121.7389,24.9426,121.7389,24.9426121.7389
24.954121.7366,24.954,121.7366,24.954121.7366
25.3402122.6746,25.3402,122.6746,25.3402122.6746
25.3076122.5776,25.3076,122.5776,25.3076122.5776
25.3174122.6146,25.3174,122.6146,25.3174122.6146
25.2798122.6212,25.2798,122.6212,25.2798122.6212
21.7701119.0333,21.7701,119.0333,21.7701119.0333
24.8904342651367122.32901763916,24.8904342651367,122.32901763916,24.8904342651367122.32901763916
24.5831122.1497,24.5831,122.1497,24.5831122.1497
24.5802122.219,24.5802,122.219,24.5802122.219
24.5678122.2391,24.5678,122.2391,24.5678122.2391
24.913121.7527,24.913,121.7527,24.913121.7527
24.9237121.763,24.9237,121.763,24.9237121.763
24.9456121.7331,24.9456,121.7331,24.9456121.7331
24.9297121.7277,24.9297,121.7277,24.9297121.7277
25.2456122.4914,25.2456,122.4914,25.2456122.4914
24.9658121.7291,24.9658,121.7291,24.9658121.7291
24.8291121.7915,24.8291,121.7915,24.8291121.7915
24.9014121.7614,24.9014,121.7614,24.9014121.7614
24.9728121.7687,24.9728,121.7687,24.9728121.7687
24.9173121.7176,24.9173,121.7176,24.9173121.7176
24.9485121.7303,24.9485,121.7303,24.9485121.7303
24.9472121.7223,24.9472,121.7223,24.9472121.7223
24.9829121.7298,24.9829,121.7298,24.9829121.7298
24.962121.7705,24.962,121.7705,24.962121.7705
24.8778629302979122.34797668457,24.8778629302979,122.34797668457,24.8778629302979122.34797668457
24.6587122.169,24.6587,122.169,24.6587122.169
24.6381122.3145,24.6381,122.3145,24.6381122.3145
24.9652121.6984,24.9652,121.6984,24.9652121.6984
24.9617121.7172,24.9617,121.7172,24.9617121.7172
25.2998561859131122.316734313965,25.2998561859131,122.316734313965,25.2998561859131122.316734313965
25.0255121.6884,25.0255,121.6884,25.0255121.6884
